id,codigo,nombre,Rubro_id
1,01.03.01,Salidas para alumbrado,3
2,01.03.02,Salidas para interruptores,3
3,01.03.03,Salidas para tomacorrientes,3
4,01.03.04,Salidas para fuerza,3
5,01.04.01,Tuberˇa EMT,4
6,01.04.02,Cajas de pase,4
7,01.04.03,Bandejas el‚ctricas,4
8,,,1
9,,,2
10,,,5
11,,,6
12,,,7
13,02.01.01,SALIDAS,8
14,02.01.02,TUBERÖAS,8
15,02.01.03,CAJA DE PASE,8
16,02.01.04,BANDEJA DE COMUNICACIONES,8
17,02.02.01,SALIDAS ,9
18,02.02.02,TUBERÖAS,9
19,02.02.03,CAJA DE PASE,9
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
